bias,Log Density,Log Commute Time,Log Household Size,Share Male,Share Hispanic,Share Black,Share Asian,Share 20-40,Share 40-60,Share >60,log_mean_income,share_public_trans,uninsured,Essential - Pro,Nonessential - Pro,Science,Legal,Health Practice,Health Other,Firefighters,Law Enforcement,Essential - Service,Nonessential - Service,Industrial,Essential - Tech,Transportation
1.0,11.413366,3.6913764,1.0224509,0.5121669712417043,0.25983208,0.1254897,0.119046666,0.0039929785,0.0025839186,0.0016435831,11.08169629547538,0.7687675027853895,0.14777756,0.08991274,0.28832778,0.008072335,0.008072335,0.011992581,0.031446274,0.013657632,0.0058382163,0.12534249,0.047527716,0.052312102,0.009084011,0.026261434
1.0,11.405817,3.6189933,1.0986123,0.492616918572446,0.25983208,0.1254897,0.119046666,0.004069162,0.0024124398,0.0018203688,11.012973837756116,0.6619041517170682,0.13402668,0.06271104,0.25101402,0.009492663,0.0047569494,0.024910277,0.029985772,0.016564379,0.001720147,0.119836904,0.04994797,0.0622226,0.015120304,0.035592176
1.0,11.51401,3.7305012,1.1184149,0.5052294030587074,0.25983208,0.1254897,0.119046666,0.0035217893,0.002547936,0.0019225456,11.169970259243295,0.6893621413335168,0.09656885,0.08634245,0.27570212,0.011758158,0.009717294,0.013868596,0.046499223,0.003965769,0.005055776,0.09821656,0.05143904,0.056912266,0.011387091,0.027806768
1.0,10.542335,3.7612002,1.0079579,0.4729326030869506,0.25983208,0.1254897,0.119046666,0.0033870456,0.0024236182,0.0019641968,11.09625784235407,0.6826409078120604,0.09812587,0.08431442,0.26503888,0.006160694,0.008128245,0.014385705,0.039576814,0.011256975,0.0038705932,0.12940682,0.050737027,0.052640066,0.016611295,0.034351513
1.0,10.122451,3.5779479,0.8285518,0.4921110671266188,0.25983208,0.1254897,0.119046666,0.0033826274,0.0028154158,0.0017106825,10.805679360030782,0.7151392934498468,0.13050632,0.06558599,0.22462517,0.0049061934,0.006162179,0.018800534,0.029829657,0.0077714105,0.006005181,0.07528064,0.026925191,0.036188085,0.005141691,0.025826203
1.0,11.13226,3.6109178,0.76080585,0.4338651812688822,0.25983208,0.1254897,0.119046666,0.003333176,0.0022696375,0.0018650868,10.956788618494235,0.6842105263157895,0.085158154,0.103339545,0.2989107,0.00064497633,0.007381396,0.03991687,0.03633367,0.015121113,0.012971191,0.057761215,0.02680235,0.016769385,0.013114519,0.01526444
1.0,11.16417,3.303217,0.7323679,0.4675602262100904,0.25983208,0.1254897,0.119046666,0.0039769337,0.0021636905,0.002172151,11.795529666831422,0.5221646035463365,0.05400829,0.24602556,0.28526005,0.0033595297,0.034555163,0.03293539,0.01535785,0.00749895,0.002279681,0.046313517,0.024236606,0.011698362,0.008638791,0.008578799
1.0,10.933867,3.6686769,0.87962675,0.4442892328052053,0.25983208,0.1254897,0.119046666,0.003233467,0.0025328088,0.0015064515,10.890963417800805,0.7663559777737946,0.10072418,0.07793256,0.2524068,0.0030118863,0.0070456625,0.010756737,0.038347766,0.02280428,0.0070456625,0.079976335,0.038347766,0.033076964,0.018931856,0.024579143
1.0,11.696357,3.7612002,1.0079579,0.46983892354846424,0.25983208,0.1254897,0.119046666,0.0035869398,0.0024298416,0.0020233463,11.044009244281447,0.7235340692096316,0.10013726,0.089992,0.28950605,0.00704312,0.0073814355,0.015900843,0.038321953,0.010210986,0.0015377991,0.10023375,0.04330442,0.04754875,0.012240881,0.03490804
1.0,11.317104,3.2771447,0.6097656,0.4454253340098089,0.25983208,0.1254897,0.119046666,0.0035295114,0.0024752242,0.0025685779,12.344755745294298,0.40574162679425835,0.025902696,0.32280523,0.35556692,0.03629383,0.054108012,0.08999232,0.008292808,0.0015357052,0.0012797543,0.02390581,0.019093934,0.0031737906,0.0015868953,0.005067827
